name,value
"great",5052
"trump",4917
"thank",4392
"president",2303
"obama",2276
"people",1963
"donald",1736
"would",1610
"america",1592
"get",1545
"new",1472
"country",1470
"like",1380
"make",1331
"time",1292
"good",1288
"one",1273
"big",1218
"run",1088
"today",1042
"never",1026
"many",1019
"vote",1008
"us",977
"going",962
"love",949
"back",939
"need",928
"best",923
"much",882
"think",882
"see",872
"really",803
"hillary",798
"want",775
"true",773
"go",766
"must",761
"job",745
"news",743
"show",735
"last",728
"tonight",723
"know",682
"world",677
"work",666
"even",656
"win",656
"day",656
"way",644
"bad",639
"deal",632
"american",631
"jobs",626
"years",619
"right",613
"china",612
"watch",605
"ever",604
"first",604
"better",596
"night",595
"can't",591
"via",571
"said",564
"foxnews",549
"please",546
"amazing",546
"makeamericagreatagain",545
"man",537
"keep",531
"look",530
"made",526
"always",526
"interview",521
"clinton",517
"foxandfriends",509
"done",506
